 01470 +5923 +00911 0026 2 Gvarv                 N 1
 01474 +5954 +00932 0288 2 Lyngdal               N 1
 01475 +5911 +00934 0014 2 Skien-Gei             N 1
 01476 +5852 +00936 0012 2 Jomfruland Fyr        N 1
 01477 +5940 +00939 0168 2 Kongsberg IV          N 1
 01482 +5902 +01032 0006 2 Ferder LT             N 1
 01483 +5912 +01016 0088 2 Torp                  N 1
 01484 +5926 +01036 0012 2 Jeloy                 N 1
 01488 +5954 +01037 0017 2 Oslo                  N 1
 01490 +5959 +01041 0514 2 Tryvasshogda I        N 1
 01494 +5923 +01047 0053 2 Rygge                 N 1
 01496 +5948 +01128 0134 2 Holand-Loken          N 1
 01497 +5900 +01132 0157 2 Prestebakke           N 1
 01498 +5958 +01213 0154 2 Magnor                N 1
 02074 +5916 +01520 0031 2 Orebro                S 1
 02200 +6359 +01252 0425 2 Edevik                S 1
 02206 +6318 +01207 0642 2 Storlien-Visjo        S 1
 02209 +6303 +01216 1035 2 Sylarna               S 1
 02215 +6326 +01305 1280 2 Areskutan             S 1
 02218 +6319 +01339 0400 2 Morsil                S 1
 02223 +6358 +01343 0680 2 Stensjon              S 1
 02224 +6346 +01426 0475 2 Follinge              S 1
 02226 +6311 +01430 0376 2 Ostersund             S 1
 02229 +6312 +01430 0376 2 Ostersund             S 1
 02234 +6352 +01535 0374 2 Stromsund             S 1
 02244 +6342 +01652 0210 2 Junsele               S 1
 02248 +6310 +01610 0220 2 Krangede              S 1
 02259 +6303 +01746 0010 2 Kramfors              S 1
 02266 +6328 +01804 0085 2 Bredbyn               S 1
 02267 +6318 +01841 0107 2 Ornskoldsvik          S 1
 02278 +6311 +01901 0013 2 Skagsudde             S 1
 02283 +6349 +02015 0010 2 Umea Robacksda        S 1
 02284 +6326 +01941 0005 2 Jarnasklubb           S 1
 02286 +6348 +02017 0007 2 Umea                  S 1
 02288 +6336 +02046 0006 2 Holmogado             S 1
 02289 +6320 +02011 0025 2 Sydostbrotten         S 1
 02300 +6235 +01213 0780 2 Fjallnas              S 1
 02306 +6108 +01249 0465 2 Rorbacksnas           S 1
 02307 +6154 +01251 0875 2 Idre                  S 1
 02310 +6248 +01304 0580 2 Storsjo Kapell        S 1
 02314 +6206 +01315 0610 2 Lofsdalen             S 1
 02316 +6142 +01310 0437 2 Sarna                 S 1
 02318 +6110 +01301 0830 2 Tandadalen            S 1
 02323 +6232 +01412 0550 2 Klovsjo               S 1
 02324 +6202 +01422 0360 2 Sveg                  S 1
 02326 +6139 +01500 0455 2 Hamra                 S 1
 02328 +6115 +01402 0250 2 Alvdalen              S 1
 02330 +6245 +01506 0342 2 Hunge                 S 1
 02334 +6202 +01528 0259 2 Finneby               S 1
 02336 +6123 +01550 0161 2 Edsbyn                S 1
 02342 +6231 +01611 0105 2 Fransta               S 1
 02346 +6147 +01633 0088 2 Delsbo                S 1
 02365 +6232 +01727 0006 2 Sundsvall             S 1
 02366 +6232 +01727 0004 2 Sundsvall             S 1
 02367 +6222 +01732 0033 2 Alnon                 S 1
 02368 +6213 +01745 0020 2 Bramon                S 1
 02372 +6137 +01727 0005 2 Holick                S 1
 02376 +6116 +01706 0026 2 Soderhamn             S 1
 02382 +6237 +01804 0010 2 Lungo                 S 1
 02400 +6021 +01239 0308 2 Ostmark               S 1
 02404 +5940 +01235 0077 2 Arvika                S 1
 02406 +5917 +01203 0110 2 Blomskog              S 1
 02407 +5829 +01229 0000 2 Galleudde             S 1
 02410 +6041 +01343 0308 2 Malung                S 1
 02412 +6009 +01348 0190 2 Gustavsfors           S 1
 02415 +5922 +01328 0046 2 Karlstad Sol          S 1
 02417 +5846 +01315 0055 2 Luro                  S 1
 02418 +5922 +01328 0046 2 Karlstad              S 1
 02420 +6031 +01457 0192 2 Mockfjard             S 1
 02422 +5937 +01411 0130 2 Asphyttan             S 1
 02424 +5957 +01457 0210 2 Stalldalen            S 1
 02428 +5906 +01422 0105 2 Atorp                 S 1
 02430 +6055 +01507 0226 2 Backa                 S 1
 02432 +5914 +01503 0060 2 Orebro                S 1
 02433 +6037 +01540 0157 2 Falun                 S 1
 02435 +6026 +01530 0153 2 Borlange              S 1
 02438 +5904 +01550 0060 2 Vingaker              S 1
 02439 +5932 +01535 0051 2 Fellingsbro           S 1
 02442 +6050 +01603 0348 2 Vintjarn              S 1
 02443 +6036 +01657 0068 2 Gavle-Sandvike        S 1
 02444 +6010 +01619 0068 2 Folkarna              S 1
 02446 +5935 +01634 0006 2 Vasteras              S 1
 02450 +6044 +01734 0005 2 Eggegrund             S 1
 02451 +6053 +01755 0022 2 Vastra Banken         S 1
 02453 +6040 +01710 0005 2 Gavle                 S 1
 02454 +6045 +01721 0003 2 Utvalnas              S 1
 02456 +6014 +01754 0039 2 Films Kyrkby          S 1
 02458 +5953 +01736 0021 2 Uppsala               S 1
 02460 +5939 +01757 0038 2 Stockholm             S 1
 02462 +5952 +01738 0013 2 Uppsala Univer        S 1
 02464 +5921 +01757 0015 2 Stockholm Bromma      S 1
 02465 +5921 +01757 0022 2 Stockholm             S 1
 02470 +6032 +01823 0005 2 Orskar                S 1
 02473 +6017 +01855 0008 2 Understen             S 1
 02474 +6010 +01845 0012 2 Singo                 S 1
 02480 +5951 +01844 0010 2 Norrtalje             S 1
 02483 +5921 +01804 0030 2 Stockholm             S 1
 02485 +5920 +01803 0052 2 Stockholm             S 1
 02487 +5918 +01842 0013 2 Stavsnas              S 1
 02489 +5904 +01807 0004 2 Harsfjarden           S 1
 02494 +5945 +01925 0005 2 Soderarm              S 1
 02495 +5933 +02001 0024 2 Svenska Bjorn         S 1
 02496 +5927 +01930 0012 2 Svenska Hogarna       S 1
 02499 +5909 +01908 0025 2 Almagrundet           S 1
 02500 +5854 +01100 0010 2 Nordkoster            S 1
 02501 +5835 +01104 0021 2 Vaderoarna            S 1
 02502 +5854 +01202 0150 2 Dals-ed               S 1
 02508 +5806 +01121 0014 2 Maseskar              S 1
 02510 +5813 +01156 0070 2 Ljungskile            S 1
 02512 +5747 +01153 0020 2 Goteborg              S 1
 02513 +5742 +01200 0005 2 Goteborg              S 1
 02516 +5738 +01137 0019 2 Vinga                 S 1
 02517 +5736 +01138 0026 2 Trubaduren            S 1
 02518 +5718 +01154 0004 2 Nidingen              S 1
 02519 +5716 +01207 0000 2 Ringhals              S 1
 02520 +5826 +01242 0054 2 Satenas               S 1
 02524 +5756 +01304 0190 2 Molla                 S 1
 02526 +5740 +01218 0154 2 Goeteborg             S 1
 02527 +5740 +01218 0155 2 Goeteborg             S 1
 02530 +5854 +01315 0050 2 Nashuvud              S 1
 02534 +5817 +01348 0181 2 Borgunda              S 1
 02535 +5827 +01358 0098 2 Skovde                S 1
 02538 +5724 +01332 0285 2 Hestra                S 1
 02543 +5839 +01408 0095 2 Fagre                 S 1
 02544 +5831 +01432 0094 2 Karlsborg             S 1
 02550 +5746 +01405 0226 2 Jonkoping             S 1
 02555 +5739 +01442 0305 2 Nassjo                S 1
 02556 +5718 +01408 0169 2 Hagshult              S 1
 02560 +5848 +01507 0215 2 Zinkgruvan            S 1
 02562 +5824 +01531 0093 2 Linkoping             S 1
 02564 +5804 +01514 0195 2 Malexander            S 1
 02565 +5731 +01550 0112 2 Hultsfred             S 1
 02566 +5724 +01550 0096 2 Malilla               S 1
 02569 +5844 +01622 0060 2 Stavsjo               S 1
 02570 +5837 +01607 0027 2 Norrkoepp             S 1
 02571 +5835 +01615 0005 2 Norrkoping            S 1
 02574 +5835 +01609 0021 2 SMHI Center           S 1
 02576 +5743 +01628 0033 2 Gladhammar            S 1
 02580 +5858 +01827 0007 2 Stabbo                S 1
